,ID,Source,Customer Segment,Membership Type,Membership Level,Affiliation,IsActive,Gender,Lifetime Days,Country,Yearly_count
1063,1064,RoomMaster,XL Nairobi 2018,Free Trial,Mid-career Leader,XL Nairobi 2018,checked,male,214.0,Kenya,0.6
1496,1497,RoomMaster,AIIP 2019,Free Trial,Mid-career Leader,AIIP 2019,checked,male,214.0,Nigeria,0.6
1172,1173,RoomMaster,The Room staff,Staff Membership,Mid-career Leader,AL Staff,checked,male,214.0,Kenya,0.6
1086,1087,RoomMaster,Existing Room member,Founding Member,Senior Leader,ALN,checked,male,366.0,United States of America,1.0
1256,1257,RoomMaster,Existing Room member,Free Trial,Senior Leader,ALN,checked,male,214.0,South Africa,0.6
300,301,RoomMaster,XL Nairobi 2018,Free Trial,Senior Leader,XL Nairobi 2018,checked,female,214.0,Kenya,0.6
277,278,RoomMaster,The Room staff,Staff Membership,Young Leader,AL Staff,checked,female,214.0,South Africa,0.6
1715,1716,RoomMaster,XL Dakar,Free Trial,Mid-career Leader,XL Dakar,checked,male,214.0,Senegal,0.6
452,453,RoomMaster,LP Nairobi 2020,Premium Paying,Young Leader,LP Nairobi 2019,checked,male,214.0,Kenya,0.6
328,329,RoomMaster,Joined post-Sprint - May,Free Trial,Mid-career Leader,ALUSB Alumni,checked,female,184.0,Senegal,0.5
875,876,RoomMaster,Existing Room member,Free Trial,Mid-career Leader,Staff Alumni,checked,male,214.0,United States of America,0.6
1639,1640,RoomMaster,Existing Room member,Free Trial,Mid-career Leader,ALN,checked,male,214.0,South Africa,0.6
943,944,RoomMaster,XL Nairobi 2018,Free Trial,Mid-career Leader,XL Nairobi 2018,checked,male,214.0,Kenya,0.6
1075,1076,RoomMaster,The Room staff,Staff Membership,Senior Leader,AL Staff,checked,male,214.0,United States of America,0.6
589,590,RoomMaster,XL Dakar,Free Trial,Mid-career Leader,XL Dakar,checked,male,214.0,Senegal,0.6
515,516,RoomMaster,XL Dakar,Free Trial,Senior Leader,XL Dakar,checked,female,214.0,Cape Verde,0.6
990,991,RoomMaster,XL Nairobi 2018,Free Trial,Mid-career Leader,XL Nairobi 2018,checked,male,214.0,Kenya,0.6
715,716,RoomMaster,XL Nairobi 2018,Free Trial,Mid-career Leader,XL Nairobi 2018,checked,female,214.0,Kenya,0.6
270,271,RoomMaster,Existing Room member,Founding Member,Senior Leader,ALN,checked,male,366.0,Kenya,1.0
1201,1202,RoomMaster,XL Nairobi 2018,Free Trial,Mid-career Leader,XL Nairobi 2018,checked,male,214.0,Kenya,0.6
1179,1180,RoomMaster,Joined post-Sprint - June,Free Trial,Mid-career Leader,ALUSB Alumni,checked,female,153.0,Zimbabwe,0.4
1435,1436,RoomMaster,ALU staff,Staff Membership,Mid-career Leader,AL Staff,checked,male,214.0,Rwanda,0.6
1541,1542,RoomMaster,Joined post-Sprint - June,Free Trial,Senior Leader,Staff Nomination,checked,female,153.0,Cote d'Ivoire,0.4
197,198,RoomMaster,Existing Room member,Free Trial,Young Leader,ALA Alumni,checked,male,214.0,United States of America,0.6
1638,1639,RoomMaster,Joined post-Sprint - May,Free Trial,Young Leader,ALU Alumni,checked,female,184.0,United Kingdom,0.5
1538,1539,RoomMaster,Existing Room member,Free Trial,Senior Leader,Donor,checked,female,214.0,South Africa,0.6
1015,1016,RoomMaster,Existing Room member,Founding Member,Senior Leader,ALN,checked,male,366.0,United Kingdom,1.0
1138,1139,RoomMaster,ALU staff,Staff Membership,Mid-career Leader,AL Staff,checked,male,214.0,Rwanda,0.6
664,665,RoomMaster,Existing Room member,Free Trial,Senior Leader,ALN,checked,male,214.0,Ghana,0.6
935,936,RoomMaster,Existing Room member,Free Trial,Senior Leader,ALN,checked,female,214.0,Switzerland,0.6
1425,1426,RoomMaster,The Room staff,Staff Membership,Young Leader,LP Nairobi 2018,checked,female,214.0,Kenya,0.6
1476,1477,RoomMaster,Existing Room member,Free Trial,Young Leader,ALU Alumni,checked,female,214.0,Ethiopia,0.6
539,540,RoomMaster,The Room staff,Staff Membership,Mid-career Leader,Staff Alumni,checked,female,214.0,Kenya,0.6
48,49,RoomMaster,XL Lagos,Free Trial,Mid-career Leader,XL Lagos,checked,male,214.0,Nigeria,0.6
121,122,RoomMaster,Existing Room member,Premium Paying,Young Leader,LP Nairobi 2018,checked,male,214.0,Kenya,0.6
1522,1523,RoomMaster,Existing Room member,Free Trial,Senior Leader,Staff Alumni,checked,female,214.0,South Africa,0.6
288,289,RoomMaster,Existing Room member,Free Trial,Senior Leader,ALN,checked,male,214.0,South Africa,0.6
1386,1387,RoomMaster,XL Nairobi 2019,Free Trial,Mid-career Leader,XL Nairobi 2019,checked,female,214.0,Kenya,0.6
1040,1041,RoomMaster,Existing Room member,Free Trial,Senior Leader,ALN,checked,female,214.0,Switzerland,0.6
1029,1030,RoomMaster,Existing Room member,Premium Paying,Young Leader,LP Nairobi 2018,checked,male,214.0,Kenya,0.6
295,296,RoomMaster,Existing Room member,Free Trial,Mid-career Leader,ALA Alumni,checked,female,214.0,Ghana,0.6
1163,1164,RoomMaster,Existing Room member,Founding Member,Senior Leader,ALN,checked,male,366.0,South Africa,1.0
337,338,RoomMaster,Existing Room member,Founding Member,Mid-career Leader,The Room,checked,male,366.0,South Africa,1.0
1046,1047,RoomMaster,The Room staff,Staff Membership,Mid-career Leader,AL Staff,checked,male,214.0,Kenya,0.6
1034,1035,RoomMaster,Existing Room member,Founding Member,Mid-career Leader,ALN,checked,female,366.0,Cape Verde,1.0
573,574,RoomMaster,DSLP Nairobi 2020,Free Trial,Young Leader,DSLP Nairobi 2020,checked,female,214.0,Kenya,0.6
1089,1090,RoomMaster,Existing Room member,Free Trial,Senior Leader,Parent,checked,male,214.0,Uganda,0.6
712,713,RoomMaster,"""Lifetime Member"" - joined May",Free Trial,Senior Leader,Corporate Partner,checked,female,184.0,Denmark,0.5
1226,1227,RoomMaster,AIIP 2018,Free Trial,Young Leader,AIIP 2018,checked,female,214.0,South Africa,0.6
598,599,RoomMaster,Existing Room member,Premium Paying,Young Leader,LP Nairobi 2018,checked,female,214.0,Kenya,0.6
235,236,RoomMaster,AIIP 2019,Free Trial,Mid-career Leader,AIIP 2019,checked,male,214.0,South Africa,0.6
888,889,RoomMaster,Existing Room member,Premium Paying,Young Leader,LP Nairobi 2018,checked,male,214.0,Kenya,0.6
327,328,RoomMaster,Existing Room member,Free Trial,Senior Leader,Donor,checked,male,214.0,South Africa,0.6
16,17,RoomMaster,AIIP 2018,Free Trial,Mid-career Leader,AIIP 2018,checked,male,214.0,South Africa,0.6
243,244,RoomMaster,XL Dakar,Free Trial,Mid-career Leader,XL Dakar,checked,male,214.0,Guinea,0.6
841,842,RoomMaster,XL Nairobi 2019,Free Trial,Mid-career Leader,XL Nairobi 2019,checked,male,214.0,Kenya,0.6
456,457,RoomMaster,Existing Room member,Founding Member,Senior Leader,Donor,checked,male,366.0,Netherlands,1.0
339,340,RoomMaster,XL Nairobi 2018,Free Trial,Mid-career Leader,XL Nairobi 2018,checked,male,214.0,Kenya,0.6
1227,1228,RoomMaster,ALU staff,Staff Membership,Mid-career Leader,AL Staff,checked,female,214.0,Nigeria,0.6
1705,1706,RoomMaster,Existing Room member,Free Trial,Senior Leader,ALN,checked,female,214.0,Kenya;United Arab Emirates,0.6
892,893,RoomMaster,ALU staff,Staff Membership,Young Leader,AL Staff,checked,female,214.0,Mauritius,0.6
576,577,RoomMaster,XL Nairobi 2018,Free Trial,Mid-career Leader,XL Nairobi 2018,checked,female,214.0,Kenya,0.6
1267,1268,RoomMaster,Existing Room member,Founding Member,Senior Leader,Corporate Partner,checked,female,366.0,Canada,1.0
626,627,RoomMaster,LP Nairobi 2020,Free Trial,Young Leader,LP Nairobi 2019,checked,female,214.0,Kenya,0.6
360,361,RoomMaster,Existing Room member,Founding Member,Senior Leader,ALN,checked,female,366.0,Kenya,1.0
1074,1075,RoomMaster,XL Lagos,Free Trial,Mid-career Leader,XL Lagos,checked,female,214.0,Nigeria,0.6
1687,1688,RoomMaster,AIIP 2018,Free Trial,Mid-career Leader,AIIP 2018,checked,male,214.0,South Africa,0.6
765,766,RoomMaster,AIIP 2019,Free Trial,Mid-career Leader,AIIP 2019,checked,male,214.0,Kenya,0.6
610,611,RoomMaster,Joined post-Sprint - May,Free Trial,Young Leader,ALU Alumni,checked,female,184.0,Morocco,0.5
331,332,RoomMaster,XL Nairobi 2019,Free Trial,Young Leader,XL Nairobi 2019,checked,female,214.0,Kenya,0.6
1177,1178,RoomMaster,Existing Room member,Free Trial,Senior Leader,ALUSB Alumni,checked,male,214.0,United States of America,0.6
1574,1575,RoomMaster,"""Lifetime Member"" - joined May",Free Trial,Senior Leader,Corporate Partner,checked,female,184.0,Denmark,0.5
1035,1036,RoomMaster,XL Dakar,Free Trial,Mid-career Leader,XL Dakar,checked,male,214.0,Senegal,0.6
40,41,RoomMaster,The Room staff,Founding Member,Senior Leader,AL Staff,checked,male,214.0,United States of America,0.6
1366,1367,RoomMaster,LP Nairobi 2018,Premium Paying,Young Leader,LP Nairobi 2018,checked,male,214.0,Kenya,0.6
1044,1045,RoomMaster,Existing Room member,Founding Member,Mid-career Leader,ALN,checked,female,366.0,United States of America,1.0
1354,1355,RoomMaster,Existing Room member,Founding Member,Mid-career Leader,ALN,checked,male,366.0,United States of America,1.0
1456,1457,RoomMaster,ALU staff,Staff Membership,Mid-career Leader,AL Staff,checked,female,214.0,Mauritius,0.6
979,980,RoomMaster,Joined post-Sprint - July,Staff Membership,Mid-career Leader,AL Staff,checked,female,123.0,South Africa,0.3
826,827,RoomMaster,The Room Staff,Staff Membership,Mid-career Leader,AL Staff,checked,female,184.0,Canada,0.5
829,830,RoomMaster,Existing Room member,Free Trial,Mid-career Leader,ALUSB Alumni,checked,female,214.0,Tanzania,0.6
170,171,RoomMaster,The Room Staff,Staff Membership,Mid-career Leader,AL Staff,checked,female,123.0,Australia,0.3
832,833,RoomMaster,Existing Room member,Free Trial,Mid-career Leader,ALN,checked,male,214.0,Canada,0.6
646,647,RoomMaster,XL Nairobi 2018,Free Trial,Mid-career Leader,XL Nairobi 2018,checked,female,214.0,Kenya,0.6
579,580,RoomMaster,XL Nairobi 2018,Free Trial,Mid-career Leader,XL Nairobi 2018,checked,female,214.0,Kenya,0.6
575,576,RoomMaster,XL Nairobi 2018,Free Trial,Mid-career Leader,XL Nairobi 2018,checked,female,214.0,Kenya,0.6
70,71,RoomMaster,XL Nairobi 2018,Free Trial,Mid-career Leader,XL Nairobi 2018,checked,male,214.0,Kenya,0.6
27,28,RoomMaster,Existing Room member,Free Trial,Senior Leader,ALN,checked,male,214.0,Rwanda,0.6
1567,1568,RoomMaster,XL Nairobi 2020,Free Trial,Mid-career Leader,XL Nairobi 2020,checked,female,214.0,Kenya,0.6
526,527,RoomMaster,Existing Room member,Free Trial,Young Leader,ALU Alumni,checked,female,214.0,Ethiopia,0.6
1604,1605,RoomMaster,XL Dakar,Free Trial,Mid-career Leader,XL Dakar,checked,male,214.0,Guinea-Bissau,0.6
432,433,RoomMaster,AIIP 2020,Free Trial,Young Leader,AIIP 2020,checked,male,214.0,Uganda,0.6
1373,1374,RoomMaster,LP Nairobi 2018,Free Trial,Young Leader,LP Nairobi 2018,checked,male,214.0,Kenya,0.6
1342,1343,RoomMaster,Existing Room member,Founding Member,Senior Leader,ALN,checked,male,366.0,South Africa,1.0
865,866,RoomMaster,Joined post-Sprint - May,Free Trial,Young Leader,ALU Alumni,checked,male,184.0,Liberia,0.5
211,212,RoomMaster,Existing Room member,Founding Member,Mid-career Leader,The Room,checked,female,366.0,United States of America,1.0
429,430,RoomMaster,LP Nairobi 2020,Premium Paying,Young Leader,LP Nairobi 2019,checked,male,214.0,Kenya,0.6
929,930,RoomMaster,Existing Room member,Free Trial,Senior Leader,Donor,checked,female,214.0,South Africa,0.6
652,653,RoomMaster,Existing Room member,Free Trial,Senior Leader,ALN,checked,male,214.0,France,0.6
1105,1106,RoomMaster,XL Nairobi 2018,Free Trial,Mid-career Leader,XL Nairobi 2018,checked,female,214.0,Kenya,0.6
1568,1569,RoomMaster,AIIP 2019,Free Trial,Young Leader,AIIP 2019,checked,female,214.0,South Africa,0.6
498,499,RoomMaster,Existing Room member,Premium Paying,Young Leader,LP Nairobi 2018,checked,male,214.0,Kenya,0.6
740,741,RoomMaster,AIIP 2019,Free Trial,Young Leader,AIIP 2019,checked,female,214.0,Nigeria,0.6
499,500,RoomMaster,Existing Room member,Free Trial,Senior Leader,ALN,checked,male,214.0,United Kingdom,0.6
1713,1714,RoomMaster,XL Lagos,Free Trial,Mid-career Leader,XL Lagos,checked,female,214.0,Nigeria,0.6
284,285,RoomMaster,XL Dakar,Free Trial,Mid-career Leader,XL Dakar,checked,male,214.0,Senegal,0.6
1199,1200,RoomMaster,Existing Room member,Premium Paying,Young Leader,LP Nairobi 2018,checked,female,214.0,Kenya,0.6
83,84,RoomMaster,Existing Room member,Premium Paying,Young Leader,LP Nairobi 2018,checked,male,214.0,Cambodia,0.6
1271,1272,RoomMaster,Existing Room member,Free Trial,Young Leader,ALA Alumni,checked,female,214.0,Malawi,0.6
1428,1429,RoomMaster,LP Nairobi 2020,Premium Paying,Young Leader,LP Nairobi 2019,checked,female,214.0,Kenya,0.6
1609,1610,RoomMaster,The Room staff,Staff Membership,Senior Leader,AL Staff,checked,female,214.0,South Africa,0.6
1043,1044,RoomMaster,The Room staff,Staff Membership,Mid-career Leader,AL Staff,checked,female,214.0,Mauritius,0.6
1642,1643,RoomMaster,Existing Room member,Founding Member,Senior Leader,Donor,checked,male,366.0,Morocco,1.0
234,235,RoomMaster,Existing Room member,Founding Member,Senior Leader,Donor,checked,female,366.0,United States of America,1.0
1135,1136,RoomMaster,Existing Room member,Free Trial,Young Leader,ALA Alumni,checked,male,214.0,United States of America,0.6
33,34,RoomMaster,LP Nairobi 2020,Premium Paying,Young Leader,LP Nairobi 2019,checked,male,214.0,Kenya,0.6
1424,1425,RoomMaster,Existing Room member,Free Trial,Senior Leader,ALN,checked,male,214.0,United States of America,0.6
1523,1524,RoomMaster,Existing Room member,Free Trial,Senior Leader,ALN,checked,male,214.0,Switzerland,0.6
1447,1448,RoomMaster,Existing Room member,Premium Paying,Mid-career Leader,ALUSB Alumni,checked,male,214.0,Zimbabwe,0.6
1600,1601,RoomMaster,Existing Room member,Free Trial,Senior Leader,ALN,checked,male,214.0,Canada,0.6
229,230,RoomMaster,Existing Room member,Free Trial,Mid-career Leader,ALN,checked,female,214.0,Mauritius,0.6
414,415,RoomMaster,LP Nairobi 2018,Premium Paying,Young Leader,LP Nairobi 2018,checked,male,214.0,Kenya,0.6
483,484,RoomMaster,LP Nairobi 2020,Premium Paying,Young Leader,LP Nairobi 2019,checked,male,214.0,Kenya,0.6
106,107,RoomMaster,XL Lagos,Free Trial,Mid-career Leader,XL Lagos,checked,male,214.0,Nigeria,0.6
562,563,RoomMaster,Joined post-Sprint August,Free Trial,Mid-career Leader,AL Staff,checked,female,92.0,South Africa,0.3
137,138,RoomMaster,Joined post-Sprint - June,Free Trial,Senior Leader,ALUSB Alumni,checked,male,153.0,Nigeria,0.4
789,790,RoomMaster,Existing Room member,Free Trial,Young Leader,ALA Alumni,checked,male,214.0,South Africa,0.6
623,624,RoomMaster,ALU Staff,Staff Membership,Senior Leader,Staff Alumni,checked,male,214.0,United States of America,0.6
1208,1209,RoomMaster,XL Nairobi 2019,Free Trial,Mid-career Leader,XL Nairobi 2019,checked,male,214.0,Kenya,0.6
1122,1123,RoomMaster,Joined post-Sprint - May,Free Trial,Senior Leader,Staff Nomination,checked,female,184.0,United States of America,0.5
186,187,RoomMaster,XL Nairobi 2019,Free Trial,Mid-career Leader,XL Nairobi 2019,checked,female,214.0,Kenya,0.6
1519,1520,RoomMaster,XL Dakar,Free Trial,Mid-career Leader,XL Dakar,checked,female,214.0,Senegal,0.6
1686,1687,RoomMaster,LP Nairobi 2018,Premium Paying,Young Leader,LP Nairobi 2018,checked,female,214.0,Kenya,0.6
281,282,RoomMaster,Existing Room member,Founding Member,Mid-career Leader,ALN,checked,male,366.0,Nigeria,1.0
165,166,RoomMaster,XL Nairobi 2019,Free Trial,Young Leader,XL Nairobi 2019,checked,male,214.0,Kenya,0.6
1387,1388,RoomMaster,Joined post-Sprint - June,Free Trial,Young Leader,ALU Alumni,checked,female,153.0,Netherlands,0.4
1284,1285,RoomMaster,Existing Room member,Founding Member,Senior Leader,Donor,checked,male,366.0,United States of America,1.0
949,950,RoomMaster,Existing Room member,Premium Paying,Young Leader,LP Nairobi 2018,checked,female,214.0,Kenya,0.6
1637,1638,RoomMaster,Existing Room member,Founding Member,Senior Leader,ALN,checked,male,366.0,Kenya,1.0
1651,1652,RoomMaster,XL Dakar,Free Trial,Mid-career Leader,XL Dakar,checked,female,214.0,Senegal,0.6
1167,1168,RoomMaster,Existing Room member,Free Trial,Mid-career Leader,ALN,checked,male,214.0,United States of America,0.6
1472,1473,RoomMaster,Existing Room member,Free Trial,Young Leader,ALU Alumni,checked,male,214.0,Tanzania,0.6
445,446,RoomMaster,LP Nairobi 2020,Premium Paying,Young Leader,LP Nairobi 2019,checked,male,214.0,Kenya,0.6
1666,1667,RoomMaster,Joined post-Sprint - June,Staff Membership,Mid-career Leader,AL Staff,checked,female,153.0,Mauritius,0.4
461,462,RoomMaster,Existing Room member,Founding Member,Mid-career Leader,The Room,checked,female,366.0,Kenya,1.0
731,732,RoomMaster,XL Dakar,Free Trial,Mid-career Leader,XL Dakar,checked,female,214.0,Senegal,0.6
587,588,RoomMaster,Existing Room member,Free Trial,Senior Leader,ALN,checked,female,214.0,France,0.6
924,925,RoomMaster,Joined post-Sprint - May,Free Trial,Young Leader,ALU Alumni,checked,female,184.0,Ghana,0.5
795,796,RoomMaster,AIIP 2019,Free Trial,Mid-career Leader,AIIP 2019,checked,female,214.0,Nigeria,0.6
293,294,RoomMaster,Joined post-Sprint - May,Staff Membership,Mid-career Leader,AL Staff,checked,female,184.0,Mauritius,0.5
1585,1586,RoomMaster,Existing Room member,Free Trial,Young Leader,Parent,checked,female,214.0,Mauritius,0.6
188,189,RoomMaster,Existing Room member,Free Trial,Young Leader,ALA Alumni,checked,male,214.0,United States of America,0.6
774,775,RoomMaster,Existing Room member,Founding Member,Senior Leader,ALN,checked,male,366.0,Ethiopia,1.0
861,862,RoomMaster,ALU staff,Staff Membership,Mid-career Leader,AL Staff,checked,male,214.0,Rwanda,0.6
149,150,RoomMaster,LP Nairobi 2018,Premium Paying,Young Leader,LP Nairobi 2018,checked,female,214.0,Kenya,0.6
1383,1384,RoomMaster,AIIP 2019,Free Trial,Mid-career Leader,AIIP 2019,checked,female,214.0,Tanzania,0.6
665,666,RoomMaster,XL Nairobi 2019,Free Trial,Mid-career Leader,XL Nairobi 2019,checked,male,214.0,Kenya,0.6
1202,1203,RoomMaster,Existing Room member,Staff Membership,Young Leader,LP Nairobi 2018,checked,female,214.0,Kenya,0.6
251,252,RoomMaster,DSLP Nairobi 2020,Premium Paying,Young Leader,DSLP Nairobi 2020,checked,male,214.0,Kenya,0.6
994,995,RoomMaster,AIIP 2018,Free Trial,Young Leader,AIIP 2018,checked,male,214.0,Tanzania,0.6
450,451,RoomMaster,Existing Room member,Founding Member,Senior Leader,Donor,checked,female,366.0,Nigeria,1.0
71,72,RoomMaster,XL Nairobi 2018,Free Trial,Mid-career Leader,XL Nairobi 2018,checked,male,214.0,Kenya,0.6
1236,1237,RoomMaster,Joined post-Sprint - May,Free Trial,Mid-career Leader,ALUSB Alumni,checked,female,184.0,Cameroon,0.5
100,101,RoomMaster,Existing Room member,Free Trial,Young Leader,ALU Alumni,checked,male,214.0,Kenya,0.6
520,521,RoomMaster,DSLP Nairobi 2020,Free Trial,Young Leader,DSLP Nairobi 2020,checked,male,214.0,Kenya,0.6
854,855,RoomMaster,Existing Room member,Free Trial,Senior Leader,Donor,checked,male,214.0,Ghana,0.6
1648,1649,RoomMaster,Joined post-Sprint - June,Free Trial,Senior Leader,Corporate Partner,checked,male,153.0,Kenya,0.4
1716,1717,RoomMaster,XL Nairobi 2018,Free Trial,Mid-career Leader,XL Nairobi 2018,checked,female,214.0,Kenya,0.6
108,109,RoomMaster,Existing Room member,Founding Member,Mid-career Leader,ALN,checked,male,366.0,Nigeria,1.0
257,258,RoomMaster,XL Dakar,Free Trial,Mid-career Leader,XL Dakar,checked,male,214.0,Benin,0.6
258,259,RoomMaster,XL Dakar,Free Trial,Mid-career Leader,XL Dakar,checked,male,214.0,Senegal,0.6
1332,1333,RoomMaster,Existing Room member,Founding Member,Senior Leader,ALN,checked,male,366.0,South Africa,1.0
1663,1664,RoomMaster,Joined post-Sprint - May,Free Trial,Young Leader,ALU Alumni,checked,female,184.0,South Africa,0.5
310,311,RoomMaster,Existing Room member,Premium Paying,Young Leader,LP Nairobi 2018,checked,male,214.0,Kenya,0.6
1594,1595,RoomMaster,The Room staff,Staff Membership,Young Leader,AL Staff,checked,male,214.0,Kenya,0.6
214,215,RoomMaster,DSXL Johannesburg,Free Trial,Mid-career Leader,DSXL Johannesburg,checked,male,214.0,South Africa,0.6
688,689,RoomMaster,Joined post-Sprint - June,Premium Paying,Mid-career Leader,ALUSB 2017 Alumni ISA,checked,male,153.0,Rwanda,0.4
462,463,RoomMaster,Joined post-Sprint - July,Free Trial,Mid-career Leader,Corporate Partner,checked,female,123.0,South Africa,0.3
459,460,RoomMaster,Existing Room member,Free Trial,Senior Leader,ALN,checked,female,214.0,United States of America,0.6
512,513,RoomMaster,AIIP 2019,Free Trial,Young Leader,AIIP 2019,checked,female,214.0,South Africa,0.6
55,56,RoomMaster,Existing Room member,Founding Member,Mid-career Leader,Staff Alumni,checked,male,366.0,Kenya,1.0
471,472,RoomMaster,Joined post-Sprint - May,Free Trial,Mid-career Leader,ALUSB Alumni,checked,male,184.0,Rwanda,0.5
519,520,RoomMaster,Existing Room member,Founding Member,Mid-career Leader,The Room,checked,male,366.0,Kenya,1.0
1292,1293,RoomMaster,AIIP 2020,Free Trial,Mid-career Leader,AIIP 2020,checked,male,214.0,Ghana,0.6
144,145,RoomMaster,XL Lagos,Free Trial,Mid-career Leader,XL Lagos,checked,female,214.0,Nigeria,0.6
1508,1509,RoomMaster,AIIP 2019,Free Trial,Young Leader,AIIP 2019,checked,male,214.0,South Africa,0.6
719,720,RoomMaster,XL Dakar,Free Trial,Mid-career Leader,XL Dakar,checked,male,214.0,Mauritania,0.6
649,650,RoomMaster,Existing Room member,Founding Member,Senior Leader,ALN,checked,female,366.0,South Africa,1.0
885,886,RoomMaster,Existing Room member,Founding Member,Senior Leader,ALN,checked,male,366.0,Nigeria,1.0
856,857,RoomMaster,Existing Room member,Founding Member,Senior Leader,School of Wildlife Conservation,checked,female,366.0,South Africa,1.0
1152,1153,RoomMaster,Existing Room member,Premium Paying,Mid-career Leader,ALUSB 2017 Alumni ISA,checked,female,214.0,South Africa,0.6
1426,1427,RoomMaster,ALU staff,Staff Membership,Mid-career Leader,AL Staff,checked,male,214.0,Mauritius,0.6
1192,1193,RoomMaster,Existing Room member,Free Trial,Senior Leader,ALN,checked,male,214.0,United States of America,0.6
320,321,RoomMaster,Existing Room member,Premium Paying,Young Leader,LP Nairobi 2018,checked,male,214.0,Kenya,0.6
278,279,RoomMaster,Existing Room member,Free Trial,Senior Leader,Parent,checked,female,214.0,Kenya,0.6
655,656,RoomMaster,ALU staff,Staff Membership,Mid-career Leader,AL Staff,checked,female,214.0,Rwanda,0.6
898,899,RoomMaster,XL Lagos,Free Trial,Mid-career Leader,XL Lagos,checked,female,214.0,Nigeria,0.6
467,468,RoomMaster,Existing Room member,Free Trial,Mid-career Leader,ALN,checked,male,214.0,Zimbabwe,0.6
600,601,RoomMaster,XL Dakar,Free Trial,Mid-career Leader,XL Dakar,checked,female,214.0,Senegal,0.6
558,559,RoomMaster,AIIP 2020,Free Trial,Young Leader,AIIP 2020,checked,female,214.0,Kenya,0.6
411,412,RoomMaster,Existing Room member,Premium Paying,Young Leader,LP Nairobi 2018,checked,male,214.0,Kenya,0.6
1607,1608,RoomMaster,Existing Room member,Free Trial,Senior Leader,ALN,checked,male,214.0,United Arab Emirates,0.6
166,167,RoomMaster,AIIP 2020,Free Trial,Young Leader,AIIP 2020,checked,male,214.0,Nigeria,0.6
322,323,RoomMaster,XL Nairobi 2019,Free Trial,Mid-career Leader,XL Nairobi 2019,checked,female,214.0,Kenya,0.6
309,310,RoomMaster,XL Lagos,Free Trial,Mid-career Leader,XL Lagos,checked,male,214.0,Nigeria,0.6
355,356,RoomMaster,The Room staff,Staff Membership,Mid-career Leader,AL Staff,checked,male,214.0,Ethiopia,0.6
847,848,RoomMaster,Existing Room member,Free Trial,Senior Leader,ALN,checked,male,171.0,Kenya,0.5
757,758,RoomMaster,Existing Room member,Founding Member,Senior Leader,ALN,checked,female,366.0,Senegal,1.0
419,420,RoomMaster,Existing Room member,Free Trial,Young Leader,ALA Alumni,checked,female,214.0,Kenya,0.6
180,181,RoomMaster,Joined post-Sprint - May,Free Trial,Mid-career Leader,ALUSB Alumni,checked,female,184.0,Zambia,0.5
1406,1407,RoomMaster,Existing Room member,Premium Paying,Young Leader,LP Nairobi 2018,checked,male,214.0,Kenya,0.6
541,542,RoomMaster,AIIP 2019,Free Trial,Young Leader,AIIP 2019,checked,male,214.0,South Africa,0.6
464,465,RoomMaster,LP Nairobi 2020,Premium Paying,Young Leader,LP Nairobi 2019,checked,male,214.0,Kenya,0.6
271,272,RoomMaster,XL Nairobi 2019,Free Trial,Mid-career Leader,XL Nairobi 2019,checked,male,214.0,Kenya,0.6
932,933,RoomMaster,Existing Room member,Founding Member,Mid-career Leader,The Room,checked,female,366.0,United States of America,1.0
809,810,RoomMaster,Existing Room member,Free Trial,Mid-career Leader,ALN,checked,female,214.0,South Africa,0.6
305,306,RoomMaster,Joined post-Sprint - May,Free Trial,Mid-career Leader,ALUSB Alumni,checked,female,184.0,Namibia,0.5
1231,1232,RoomMaster,Joined post-Sprint - May,Staff Membership,Mid-career Leader,AL Staff,checked,female,184.0,Rwanda,0.5
1562,1563,RoomMaster,XL Nairobi 2019,Free Trial,Mid-career Leader,XL Nairobi 2019,checked,female,214.0,Kenya,0.6
799,800,RoomMaster,Existing Room member,Free Trial,Young Leader,ALN,checked,male,214.0,South Africa,0.6
425,426,RoomMaster,Existing Room member,Premium Paying,Young Leader,LP Nairobi 2018,checked,female,214.0,Kenya,0.6
528,529,RoomMaster,Existing Room member,Free Trial,Senior Leader,ALN,checked,male,214.0,South Africa,0.6
219,220,RoomMaster,Existing Room member,Founding Member,Mid-career Leader,The Room,checked,female,366.0,Kenya,1.0
656,657,RoomMaster,Existing Room member,Premium Paying,Young Leader,LP Nairobi 2018,checked,female,214.0,United States of America,0.6
907,908,RoomMaster,XL Nairobi 2018,Free Trial,Mid-career Leader,XL Nairobi 2018,checked,male,214.0,Kenya,0.6
441,442,RoomMaster,AIIP 2020,Free Trial,Young Leader,AIIP 2020,checked,male,214.0,South Africa,0.6
236,237,RoomMaster,DSLP Nairobi 2020,Free Trial,Young Leader,DSLP Nairobi 2020,checked,female,214.0,Kenya,0.6
1502,1503,RoomMaster,Existing Room member,Free Trial,Senior Leader,Entrepreneur in Residence,checked,female,214.0,Kenya,0.6
1484,1485,RoomMaster,XL Dakar,Free Trial,Mid-career Leader,XL Dakar,checked,male,214.0,Senegal,0.6
1033,1034,RoomMaster,XL Nairobi 2018,Free Trial,Mid-career Leader,XL Nairobi 2018,checked,female,214.0,Nigeria,0.6
1616,1617,RoomMaster,XL Nairobi 2018,Free Trial,Mid-career Leader,XL Nairobi 2018,checked,female,214.0,Kenya,0.6
